2024-02-24 08:38:57,604 [Thread-3 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.3608756631502, 'Transmission Delay (s)': 0.06255722045898438, 'Propagation Delay (s)': 0.0177253706345013, 'Round Trip Time (s)': 0.04473815132289616, 'End-to-End Delay (s)': 0.12502074241638184}
2024-02-24 08:38:57,619 [Thread-7 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.8113358595292, 'Transmission Delay (s)': 0.06254148483276367, 'Propagation Delay (s)': 0.014008181047941437, 'Round Trip Time (s)': 0.048530204343293915, 'End-to-End Delay (s)': 0.12507987022399902}
2024-02-24 08:38:57,619 [Thread-2 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.8113358595292, 'Transmission Delay (s)': 0.06254148483276367, 'Propagation Delay (s)': 0.03736738197282965, 'Round Trip Time (s)': 0.025171003418405703, 'End-to-End Delay (s)': 0.12507987022399902}
2024-02-24 08:38:57,619 [Thread-12 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.8113358595292, 'Transmission Delay (s)': 0.06254148483276367, 'Propagation Delay (s)': 0.025989366302546092, 'Round Trip Time (s)': 0.03654901908868926, 'End-to-End Delay (s)': 0.12507987022399902}
2024-02-24 08:38:57,619 [Thread-16 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.8113358595292, 'Transmission Delay (s)': 0.06254148483276367, 'Propagation Delay (s)': 0.018554058724757766, 'Round Trip Time (s)': 0.043984326666477586, 'End-to-End Delay (s)': 0.12507987022399902}
2024-02-24 08:38:57,619 [Thread-4 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.8113358595292, 'Transmission Delay (s)': 0.06254148483276367, 'Propagation Delay (s)': 0.03153571126427254, 'Round Trip Time (s)': 0.03100267412696281, 'End-to-End Delay (s)': 0.12507987022399902}
2024-02-24 08:38:57,619 [Thread-11 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.8113358595292, 'Transmission Delay (s)': 0.06254148483276367, 'Propagation Delay (s)': 0.012480370361430104, 'Round Trip Time (s)': 0.050058015029805246, 'End-to-End Delay (s)': 0.12507987022399902}
2024-02-24 08:38:57,635 [Thread-1 (run_client)] [INFO] {'Transmission Speed (bps)': 1791.4123021774778, 'Transmission Delay (s)': 0.06252050399780273, 'Propagation Delay (s)': 0.03903700645664356, 'Round Trip Time (s)': 0.023390752713888664, 'End-to-End Delay (s)': 0.12494826316833496}
2024-02-24 08:38:57,635 [Thread-5 (run_client)] [INFO] {'Transmission Speed (bps)': 1791.4123021774778, 'Transmission Delay (s)': 0.06252050399780273, 'Propagation Delay (s)': 0.03145950625504756, 'Round Trip Time (s)': 0.03096825291548467, 'End-to-End Delay (s)': 0.12494826316833496}
2024-02-24 08:38:57,729 [Thread-14 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.2461275504754, 'Transmission Delay (s)': 0.062491416931152344, 'Propagation Delay (s)': 0.027395196514904872, 'Round Trip Time (s)': 0.03506522600096427, 'End-to-End Delay (s)': 0.12495183944702148}
2024-02-24 08:38:57,729 [Thread-8 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.2461275504754, 'Transmission Delay (s)': 0.062491416931152344, 'Propagation Delay (s)': 0.011239757990153216, 'Round Trip Time (s)': 0.05122066452571593, 'End-to-End Delay (s)': 0.12495183944702148}
2024-02-24 08:38:57,729 [Thread-13 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.2461275504754, 'Transmission Delay (s)': 0.062491416931152344, 'Propagation Delay (s)': 0.028402379672533257, 'Round Trip Time (s)': 0.034058042843335884, 'End-to-End Delay (s)': 0.12495183944702148}
2024-02-24 08:38:57,729 [Thread-20 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.2461275504754, 'Transmission Delay (s)': 0.062491416931152344, 'Propagation Delay (s)': 0.042630013318520246, 'Round Trip Time (s)': 0.019830409197348894, 'End-to-End Delay (s)': 0.12495183944702148}
2024-02-24 08:38:57,729 [Thread-3 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.2461275504754, 'Transmission Delay (s)': 0.062491416931152344, 'Propagation Delay (s)': 0.02278779535376825, 'Round Trip Time (s)': 0.03967262716210089, 'End-to-End Delay (s)': 0.12495183944702148}
2024-02-24 08:38:57,729 [Thread-18 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.2461275504754, 'Transmission Delay (s)': 0.062491416931152344, 'Propagation Delay (s)': 0.014463229122139345, 'Round Trip Time (s)': 0.04799719339372979, 'End-to-End Delay (s)': 0.12495183944702148}
2024-02-24 08:38:57,744 [Thread-9 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.326759124811, 'Transmission Delay (s)': 0.06255841255187988, 'Propagation Delay (s)': 0.02257003835555789, 'Round Trip Time (s)': 0.03981981226089719, 'End-to-End Delay (s)': 0.12494826316833496}
2024-02-24 08:38:57,744 [Thread-7 (run_client)] [INFO] {'Transmission Speed (bps)': 1793.3887707537194, 'Transmission Delay (s)': 0.06245160102844238, 'Propagation Delay (s)': 0.04376767905933361, 'Round Trip Time (s)': 0.018622171557121467, 'End-to-End Delay (s)': 0.12484145164489746}
2024-02-24 08:38:57,744 [Thread-16 (run_client)] [INFO] {'Transmission Speed (bps)': 1793.3887707537194, 'Transmission Delay (s)': 0.06245160102844238, 'Propagation Delay (s)': 0.018761014107125662, 'Round Trip Time (s)': 0.043628836509329416, 'End-to-End Delay (s)': 0.12484145164489746}
2024-02-24 08:38:57,744 [Thread-2 (run_client)] [INFO] {'Transmission Speed (bps)': 1793.3887707537194, 'Transmission Delay (s)': 0.06245160102844238, 'Propagation Delay (s)': 0.0279309226559697, 'Round Trip Time (s)': 0.03445892796048538, 'End-to-End Delay (s)': 0.12484145164489746}
2024-02-24 08:38:57,744 [Thread-11 (run_client)] [INFO] {'Transmission Speed (bps)': 1793.3887707537194, 'Transmission Delay (s)': 0.06245160102844238, 'Propagation Delay (s)': 0.019578310824149528, 'Round Trip Time (s)': 0.04281153979230555, 'End-to-End Delay (s)': 0.12484145164489746}
2024-02-24 08:38:57,744 [Thread-4 (run_client)] [INFO] {'Transmission Speed (bps)': 1793.3887707537194, 'Transmission Delay (s)': 0.06245160102844238, 'Propagation Delay (s)': 0.017622904665326403, 'Round Trip Time (s)': 0.04476694595112868, 'End-to-End Delay (s)': 0.12484145164489746}
2024-02-24 08:38:57,744 [Thread-12 (run_client)] [INFO] {'Transmission Speed (bps)': 1793.3887707537194, 'Transmission Delay (s)': 0.06245160102844238, 'Propagation Delay (s)': 0.048997614980540324, 'Round Trip Time (s)': 0.013392235635914754, 'End-to-End Delay (s)': 0.12484145164489746}
2024-02-24 08:38:57,760 [Thread-5 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.464964361483, 'Transmission Delay (s)': 0.062483787536621094, 'Propagation Delay (s)': 0.010504848375966533, 'Round Trip Time (s)': 0.05200468836719753, 'End-to-End Delay (s)': 0.12499332427978516}
2024-02-24 08:38:57,760 [Thread-1 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.464964361483, 'Transmission Delay (s)': 0.062483787536621094, 'Propagation Delay (s)': 0.022144267305939005, 'Round Trip Time (s)': 0.04036526943722506, 'End-to-End Delay (s)': 0.12499332427978516}
2024-02-24 08:38:57,854 [Thread-18 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.9956803702757, 'Transmission Delay (s)': 0.06253504753112793, 'Propagation Delay (s)': 0.026828055661058045, 'Round Trip Time (s)': 0.035702461917066955, 'End-to-End Delay (s)': 0.12506556510925293}
2024-02-24 08:38:57,854 [Thread-13 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.9956803702757, 'Transmission Delay (s)': 0.06253504753112793, 'Propagation Delay (s)': 0.04853026387141483, 'Round Trip Time (s)': 0.014000253706710167, 'End-to-End Delay (s)': 0.12506556510925293}
2024-02-24 08:38:57,854 [Thread-8 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.9956803702757, 'Transmission Delay (s)': 0.06253504753112793, 'Propagation Delay (s)': 0.010555700489237183, 'Round Trip Time (s)': 0.05197481708888782, 'End-to-End Delay (s)': 0.12506556510925293}
2024-02-24 08:38:57,854 [Thread-20 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.9956803702757, 'Transmission Delay (s)': 0.06253504753112793, 'Propagation Delay (s)': 0.022311995320086778, 'Round Trip Time (s)': 0.04021852225803822, 'End-to-End Delay (s)': 0.12506556510925293}
2024-02-24 08:38:57,854 [Thread-3 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.9956803702757, 'Transmission Delay (s)': 0.06253504753112793, 'Propagation Delay (s)': 0.017132254099336337, 'Round Trip Time (s)': 0.04539826347878866, 'End-to-End Delay (s)': 0.12506556510925293}
2024-02-24 08:38:57,854 [Thread-14 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.9956803702757, 'Transmission Delay (s)': 0.06253504753112793, 'Propagation Delay (s)': 0.036095535827837505, 'Round Trip Time (s)': 0.026434981750287495, 'End-to-End Delay (s)': 0.12506556510925293}
2024-02-24 08:38:57,869 [Thread-16 (run_client)] [INFO] {'Transmission Speed (bps)': 1789.5969767158356, 'Transmission Delay (s)': 0.06258392333984375, 'Propagation Delay (s)': 0.024931309451060736, 'Round Trip Time (s)': 0.0376046917543836, 'End-to-End Delay (s)': 0.12511992454528809}
2024-02-24 08:38:57,869 [Thread-11 (run_client)] [INFO] {'Transmission Speed (bps)': 1789.5969767158356, 'Transmission Delay (s)': 0.06258392333984375, 'Propagation Delay (s)': 0.04683816090004633, 'Round Trip Time (s)': 0.015697840305398003, 'End-to-End Delay (s)': 0.12511992454528809}
